index,ant_a,ant_b,vis
438,0,5,-0.45933372610444384-0.03565178045342626i
439,0,5,-0.4921081854255587-0.03279921044165966i
440,0,5,-0.25766749906064257+0.007339820871213803i
441,0,5,-0.3803481767926673+0.17971342576854252i
442,0,5,-0.37542214989309197-0.04277482403809267i
443,0,5,-0.3917068449483929-0.1493632762030602i
444,0,5,-0.49397323979819474+0.014932364752154061i
445,0,5,-0.6125065301283179+0.09558720369177685i
446,0,5,-0.29575292717656443-0.19449775259852123i
447,0,5,-0.4087957204736912+0.14088666194460747i
448,0,5,-0.34366063904408656-0.13175347744667829i
449,0,5,-0.44899969451958993+0.1763900748406116i
450,0,5,-0.588274014148229-0.08603891835649452i
451,0,5,-0.3205846006351395+0.04117917475581893i
452,0,5,-0.34024862650643817+0.13119579561838557i
453,0,5,-0.3176256032982947+0.06435368897587443i
454,0,5,-0.40479486356792554-0.1590684272696082i
455,0,5,-0.4378197872536022-0.19336016639450088i
456,0,5,-0.3882420560436132+0.053856874302404045i
457,0,5,-0.28940779393018845+0.07841082998804236i
458,0,5,-0.2385629800592615+0.09681888061782795i
459,0,5,-0.4163960961343215-0.04885053465133686i
460,0,5,-0.36903480794321314+0.026992263238814575i
461,0,5,-0.24989056178020555+0.1776603272707706i
462,0,5,-0.3389219827799104+0.07395966386926657i
463,0,5,-0.32115868367702366+0.05324629353371957i
464,0,5,-0.3188287926332555+0.15212508539606695i
465,0,5,-0.4659503165065503+0.20767608469955579i
466,0,5,-0.40513558458614873-0.03063973224377438i
467,0,5,-0.4254939227065293+0.08533600216089944i
468,0,5,-0.3455672263184185-0.04242980152455332i
469,0,5,-0.4371726135374602-0.024267476294259183i
470,0,5,-0.34127794268551526+0.05659219929299611i
471,0,5,-0.3735172562916001-0.13629471048560754i
472,0,5,-0.3784525924599873+0.11466674812491341i
473,0,5,-0.3138033146230983+0.06420002097766497i
474,0,5,-0.22092270693394556+0.01920296650338433i
475,0,5,-0.5668707056527709-0.01262535899286113i
476,0,5,-0.6502115042469534+0.12609719535998284i
477,0,5,-0.65243397612716-0.05301204887990431i
478,0,5,-0.44435279806562283+0.0851922147949727i
479,0,5,-0.20227111297247596+0.12391833427513706i
480,0,5,-0.3792384565200485+0.1677090782167253i
481,0,5,-0.2717299698876709+0.07593459066901097i
482,0,5,-0.46886085311645476-0.07566068039358775i
483,0,5,-0.4338578018274914-0.009931236860313733i
484,0,5,-0.3269624551091439-0.16341543328929514i
485,0,5,-0.41379393651354074-0.010797147360452175i
486,0,5,-0.41106122568706754-0.0017632731798582976i
487,0,5,-0.4434930213924632-0.048047276248123924i
488,0,5,-0.46285248011315294+0.17963399156139842i
489,0,5,-0.2417181740717334+0.10928253543439014i
490,0,5,-0.36296964616041005-0.022475787743519597i
491,0,5,-0.3293911525710417-0.0010503658044327749i
492,0,5,-0.40732617617363087-0.18187832187994316i
493,0,5,-0.3489044605943806+0.03523368242822653i
494,0,5,-0.23065759203736017+0.1989459606946252i
495,0,5,-0.3567225409022761+0.1371682485018299i
496,0,5,-0.41690246920590013+0.021693077511273272i
497,0,5,-0.43695554326789565+0.03951462235625455i
498,0,5,-0.35955637882949504-0.15608495734690572i
499,0,5,-0.2633382935759365-0.1152609856495592i
500,0,6,-0.46885054419483063+0.45747495963273244i
501,0,6,-0.20834792935735508+0.5526736667335508i
502,0,6,-0.2905343192183767+0.33128055530645034i
503,0,6,-0.1880391227238123+0.42045718976944607i
504,0,6,-0.16191271140555366+0.2031857886992636i
505,0,6,-0.025540109345730977+0.4112398836466924i
506,0,6,-0.2294658517015436+0.38746739618606485i
507,0,6,-0.5565272991495289+0.19410039432921458i
508,0,6,0.022990751473015242+0.4088642567857975i
509,0,6,-0.37419978246714924+0.3986042880028589i
510,0,6,-0.17910577382139153+0.29681004872061345i
511,0,6,-0.32277158480278495+0.45477591091845226i
512,0,6,-0.3007448245329666+0.49479920290135493i
513,0,6,-0.12395140878375802+0.24392770120218704i
514,0,6,-0.3061976672270877+0.3170196574987648i
515,0,6,-0.13359777287698554+0.4138092073825962i
516,0,6,-0.33962035720588546+0.5318778791092231i
517,0,6,-0.017065797224091156+0.2778428305983048i
518,0,6,-0.23399665999537475+0.3755805918795593i
519,0,6,-0.14359074293872373+0.4880101946193166i
520,0,6,-0.14079209695336464+0.3112616140880579i
521,0,6,-0.3526047838514105+0.4301323837142062i
522,0,6,-0.3072865578578424+0.37873680566605855i
523,0,6,-0.2897636441234909+0.4309543550908607i
524,0,6,-0.19853618076753493+0.420309763714346i
525,0,6,-0.09448637847964958+0.288303255809009i
526,0,6,-0.434202308323379+0.41310600542091125i
527,0,6,-0.32768837009365237+0.22846840022873424i
528,0,6,-0.30110833301529055+0.44188652195025935i
529,0,6,-0.3665712565819508+0.20908963670142902i
530,0,6,-0.06249453813761835+0.3680855821254525i
531,0,6,-0.4063744529835055+0.3396519592261945i
532,0,6,-0.20752534523146648+0.31330752374492654i
533,0,6,-0.4212222598412599+0.2861247152827986i
534,0,6,-0.3540977290037757+0.37819558731354147i
535,0,6,-0.14148567687438057+0.3393988013944383i
536,0,6,-0.32594293067562685+0.29753964915784553i
537,0,6,-0.4754784326862628+0.23308850950045942i
538,0,6,-0.314302289454565+0.20996361873181205i
539,0,6,-0.3761606530777426+0.4200174687414766i
540,0,6,-0.2653109692254061+0.4879524046609059i
541,0,6,-0.32265462048803323+0.21292604440095497i
542,0,6,-0.23393157447031898+0.35145853108141034i
543,0,6,-0.18609690168320747+0.32854708140047095i
544,0,6,-0.3028562152772508+0.30194008295835817i
545,0,6,-0.13405800453898156+0.3405999028576528i
546,0,6,-0.18797107191759171+0.3354578822666915i
547,0,6,-0.15603716811502333+0.33863710574585554i
